"","Plot","Treatment","Zone","Northing","Easting"
"1","CP019","control",12,602510,3618271
"2","CP020","control",12,602482,3618464
"3","FP017","fuel",12,601702,3618145
"4","CP006","control",12,601753,3618432
"5","CP008","control",12,602186,3618475
"6","FP027","fuel",12,600126,3618825
"7","FP030","fuel",12,600508,3618871
"8","CP012","control",12,605192,3615243
"9","FP026","fuel",12,600330,3619035
"10","SP016","thinned",12,603911,3616322
"11","FP036","fuel",12,605261,3614748
"12","FP012","fuel",12,605267,3614820
"13","SP003","thinned",12,605541,3614633
"14","SP004","thinned",12,605705,3614448
"15","FP028","fuel",12,600332,3618638
"16","FP032","fuel",12,601121,3618721
"17","CP002","control",12,600660,3618996
"18","CP001","control",12,600893,3618998
"19","FP022","fuel",12,601175,3619090
"20","CP003","control",12,601384,3619273
"21","SP041","thinned",12,605510,3614125
"22","SP006","thinned",12,605568,3614363
"23","SP005","thinned",12,605481,3614432
"24","SP007","thinned",12,605557,3614245
"25","CP018","control",12,605375,3614192
"26","CP017","control",12,604654,3614192
"27","SP035","thinned",12,604696,3614264
"28","SP008","thinned",12,605503,3614126
"29","SP042","thinned",12,605389,3614560
"30","FP018","thinned",12,601661,3618145
